species_name,bbch_code,percentile_5,percentile_25,percentile_75,percentile_95,aberration_start_day,aberration_end_day
Abies alba L.,11,152,153,154,154,,
Abies alba L.,15,180,180,180,180,,
Abies alba L.,61,185,185,185,185,,
Abies alba L.,65,213,213,213,213,,
Abies alba L.,85,283,283,283,283,,
Aesculus hippocastanum,11,70,87,101,108,61,112
Aesculus hippocastanum,15,81,94,108,129,74,148
Aesculus hippocastanum,61,96,106,120,132,92,146
Aesculus hippocastanum,65,99,109,123,136,94,146
Aesculus hippocastanum,85,240,259,282,294,228,303
Betula pendula,11,74,88,103,116,69,129
Betula pendula,15,88,95,110,127,85,137
Betula pendula,61,71,91,105,137,61,209
Betula pendula,65,76,95,111,172,69,246
Betula pendula,91,243,265,289,302,233,303
Betula pendula,95,262,281,307,319,257,320
Celtis australis,11,67,89,101,112,64,155
Celtis australis,15,78,97,110,117,76,119
Celtis australis,61,71,87,97,106,,
Celtis australis,65,65,77,108,119,,
Celtis australis,85,193,255,300,319,,
Celtis australis,91,288,297,308,320,288,322
Celtis australis,95,147,306,331,338,69,342
Cercis siliquastrum,11,76,88,103,114,74,198
Cercis siliquastrum,15,79,91,107,119,79,121
Cercis siliquastrum,61,61,81,100,158,61,279
Cercis siliquastrum,65,65,84,99,110,65,112
Cercis siliquastrum,85,139,171,236,288,,
Cercis siliquastrum,91,261,271,307,330,257,331
Cercis siliquastrum,95,211,292,326,337,98,338
Corylus avellana,11,74,86,102,113,65,117
Corylus avellana,15,80,92,109,122,72,129
Corylus avellana,61,11,13,44,74,0,172
Corylus avellana,65,4,17,47,71,11,100
Fagus sylvatica L.,11,100,101,132,211,,
Fagus sylvatica L.,15,104,104,151,200,,
Fagus sylvatica L.,61,132,132,209,270,,
Fagus sylvatica L.,91,253,258,269,284,,
Fagus sylvatica L.,95,275,284,298,300,,
Forsythia intermedia,11,71,86,103,113,66,118
Forsythia intermedia,15,77,94,111,122,63,128
Forsythia intermedia,61,51,66,82,95,43,100
Forsythia intermedia,65,61,71,87,102,58,106
Forsythia intermedia,91,117,276,305,320,110,324
Forsythia intermedia,95,201,291,319,331,110,334
Fraxinus excelsior,11,81,102,122,132,66,144
Fraxinus excelsior,15,85,108,127,140,79,168
Fraxinus excelsior,61,15,73,100,111,12,111
Fraxinus excelsior,65,46,77,106,118,22,119
Fraxinus excelsior,85,148,250,298,324,142,324
Juglans regia L.,11,100,106,112,133,99,140
Juglans regia L.,15,103,107,125,144,102,147
Juglans regia L.,61,105,109,120,124,105,126
Juglans regia L.,65,105,109,122,129,104,130
Juglans regia L.,85,264,271,275,288,,
Juglans regia L.,91,286,297,312,314,,
Juglans regia L.,95,299,306,313,315,,
Larix decidua,11,78,88,107,128,76,129
Larix decidua,15,91,91,107,139,87,140
Larix decidua,61,87,93,100,111,87,111
Larix decidua,65,91,98,110,115,90,115
Larix decidua,91,274,302,319,322,,
Larix decidua,95,301,322,326,327,,
Malus domestica,11,81,87,105,121,77,125
Malus domestica,15,85,89,106,135,81,140
Malus domestica,61,93,99,108,124,92,125
Malus domestica,65,97,102,110,132,96,135
Malus domestica,85,263,268,283,295,,
Malus domestica,91,274,279,314,334,,
Malus domestica,95,287,313,336,348,,
Malus pumila var. cox orange pippin,11,111,113,115,115,,
Malus pumila var. cox orange pippin,15,117,123,130,138,,
Malus pumila var. cox orange pippin,61,88,99,111,123,,
Malus pumila var. cox orange pippin,65,94,114,122,130,,
Malus pumila var. cox orange pippin,85,244,256,268,270,,
Malus pumila var. cox orange pippin,91,264,281,293,298,,
Malus pumila var. cox orange pippin,95,290,316,328,331,,
Malus pumila var. golden delicious,11,83,97,109,119,68,126
Malus pumila var. golden delicious,15,88,93,117,125,88,141
Malus pumila var. golden delicious,61,93,101,107,115,88,119
Malus pumila var. golden delicious,65,94,102,113,130,90,138
Malus pumila var. golden delicious,85,239,244,254,254,,
Malus pumila var. golden delicious,91,252,268,283,289,,
Malus pumila var. golden delicious,95,286,293,301,310,,
Malus pumila var. reine de reinette,11,81,91,109,115,,
Malus pumila var. reine de reinette,15,87,100,116,132,,
Malus pumila var. reine de reinette,61,88,100,111,125,86,125
Malus pumila var. reine de reinette,65,95,101,119,133,94,135
Malus pumila var. reine de reinette,85,230,239,261,288,,
Malus pumila var. reine de reinette,91,252,268,297,316,,
Malus pumila var. reine de reinette,95,278,296,324,349,,
Picea abies,11,103,115,134,158,101,160
Picea abies,15,104,120,140,167,86,171
Picea abies,61,73,107,135,140,66,146
Picea abies,65,107,120,148,169,104,181
Platanus acerifolia,11,79,87,111,131,27,172
Platanus acerifolia,15,84,97,121,145,82,145
Platanus acerifolia,61,88,103,135,151,86,155
Platanus acerifolia,65,94,108,136,158,86,159
Platanus acerifolia,91,237,260,290,310,233,310
Platanus acerifolia,95,256,276,305,319,244,324
Prunus armeniaca,11,66,74,90,101,,
Prunus armeniaca,15,73,87,105,106,,
Prunus armeniaca,61,50,53,74,82,50,83
Prunus armeniaca,65,56,63,86,89,54,89
Prunus armeniaca,85,151,157,170,176,,
Prunus armeniaca,91,259,278,327,346,,
Prunus armeniaca var. bergeron,11,86,91,106,107,84,108
Prunus armeniaca var. bergeron,15,92,96,108,110,90,112
Prunus armeniaca var. bergeron,61,57,68,84,96,45,97
Prunus armeniaca var. bergeron,65,60,75,83,97,47,98
Prunus armeniaca var. bergeron,85,199,199,199,199,,
