species,stade,start,end
Abies alba L.,11,147,162
Abies alba L.,15,175,190
Abies alba L.,61,180,195
Abies alba L.,65,208,223
Abies alba L.,85,278,293
Abies alba L.,91,NA,NA
Abies alba L.,95,NA,NA
Aesculus hippocastanum,11,55,70
Aesculus hippocastanum,15,61,76
Aesculus hippocastanum,61,77,92
Aesculus hippocastanum,65,87,102
Aesculus hippocastanum,85,189,204
Aesculus hippocastanum,91,NA,NA
Aesculus hippocastanum,95,NA,NA
Betula pendula,11,39,54
Betula pendula,15,77,92
Betula pendula,61,38,53
Betula pendula,65,54,69
Betula pendula,85,195,210
Betula pendula,91,211,226
Betula pendula,95,244,259
Celtis australis,11,58,73
Celtis australis,15,70,85
Celtis australis,61,59,74
Celtis australis,65,58,73
Celtis australis,85,162,177
Celtis australis,91,283,298
Celtis australis,95,28,43
Cercis siliquastrum,11,68,83
Cercis siliquastrum,15,74,89
Cercis siliquastrum,61,56,71
Cercis siliquastrum,65,60,75
Cercis siliquastrum,85,134,149
Cercis siliquastrum,91,250,265
Cercis siliquastrum,95,40,55
Corylus avellana,11,37,52
Corylus avellana,15,56,71
Corylus avellana,61,-14,1
Corylus avellana,65,-9,6
Corylus avellana,85,255,270
Corylus avellana,91,255,270
Corylus avellana,95,275,290
Fagus sylvatica L.,11,85,100
Fagus sylvatica L.,15,95,110
Fagus sylvatica L.,61,95,110
Fagus sylvatica L.,65,105,120
Fagus sylvatica L.,85,245,260
Fagus sylvatica L.,91,265,280
Fagus sylvatica L.,95,275,290
Forsythia intermedia,11,51,66
Forsythia intermedia,15,50,65
Forsythia intermedia,61,20,35
Forsythia intermedia,65,48,63
Forsythia intermedia,85,NA,NA
Forsythia intermedia,91,99,114
Forsythia intermedia,95,88,103
Fraxinus excelsior,11,57,72
Fraxinus excelsior,15,69,84
Fraxinus excelsior,61,5,20
Fraxinus excelsior,65,9,24
Fraxinus excelsior,85,117,132
Fraxinus excelsior,91,225,240
Fraxinus excelsior,95,245,260
Juglans regia L.,11,93,108
Juglans regia L.,15,97,112
Juglans regia L.,61,100,115
Juglans regia L.,65,99,114
Juglans regia L.,85,256,271
Juglans regia L.,91,279,294
Juglans regia L.,95,292,307
Larix decidua,11,71,86
Larix decidua,15,80,95
Larix decidua,61,81,96
Larix decidua,65,84,99
Larix decidua,85,215,230
Larix decidua,91,255,270
Larix decidua,95,285,300
Malus domestica,11,69,84
Malus domestica,15,75,90
Malus domestica,61,86,101
Malus domestica,65,91,106
Malus domestica,85,256,271
Malus domestica,91,268,283
Malus domestica,95,274,289
Malus pumila var. cox orange pippin,11,105,120
Malus pumila var. cox orange pippin,15,110,125
Malus pumila var. cox orange pippin,61,80,95
Malus pumila var. cox orange pippin,65,85,100
Malus pumila var. cox orange pippin,85,237,252
Malus pumila var. cox orange pippin,91,256,271
Malus pumila var. cox orange pippin,95,279,294
Malus pumila var. golden delicious,11,56,71
Malus pumila var. golden delicious,15,83,98
Malus pumila var. golden delicious,61,81,96
Malus pumila var. golden delicious,65,83,98
Malus pumila var. golden delicious,85,232,247
Malus pumila var. golden delicious,91,242,257
Malus pumila var. golden delicious,95,278,293
Malus pumila var. reine de reinette,11,75,90
Malus pumila var. reine de reinette,15,80,95
Malus pumila var. reine de reinette,61,81,96
Malus pumila var. reine de reinette,65,87,102
Malus pumila var. reine de reinette,85,225,240
Malus pumila var. reine de reinette,91,240,255
Malus pumila var. reine de reinette,95,263,278
Picea abies,11,95,110
Picea abies,15,48,63
Picea abies,61,61,76
Picea abies,65,98,113
Picea abies,85,NA,NA
Picea abies,91,NA,NA
Picea abies,95,NA,NA
Platanus acerifolia,11,22,37
Platanus acerifolia,15,75,90
Platanus acerifolia,61,79,94
Platanus acerifolia,65,77,92
Platanus acerifolia,85,195,210
Platanus acerifolia,91,205,220
Platanus acerifolia,95,28,43
Populus nigra var. italica Münchh,11,94,109
Populus nigra var. italica Münchh,15,103,118
Populus nigra var. italica Münchh,61,69,84
Populus nigra var. italica Münchh,65,69,84
Populus nigra var. italica Münchh,85,145,160
Populus nigra var. italica Münchh,91,203,218
Populus nigra var. italica Münchh,95,260,275
Prunus armeniaca,11,60,75
Prunus armeniaca,15,65,80
Prunus armeniaca,61,45,60
Prunus armeniaca,65,49,64
Prunus armeniaca,85,145,160
Prunus armeniaca,91,250,265
Prunus armeniaca,95,260,275
Prunus armeniaca var. bergeron,11,79,94
Prunus armeniaca var. bergeron,15,85,100
Prunus armeniaca var. bergeron,61,33,48
Prunus armeniaca var. bergeron,65,37,52
Prunus armeniaca var. bergeron,85,194,209
Prunus armeniaca var. bergeron,91,226,241
