species,stade,start,end
Arbutus unedo L.,11,60,212
Arbutus unedo L.,15,60,212
Arbutus unedo L.,61,274,365
Arbutus unedo L.,65,274,365
Arbutus unedo L.,85,274,46
Castanea sativa,11,110,135
Castanea sativa,15,110,135
Castanea sativa,61,140,181
Castanea sativa,65,140,181
Castanea sativa,85,274,304
Castanea sativa,91,293,319
Castanea sativa,95,293,319
Quercus ilex L.,11,105,181
Quercus ilex L.,15,105,181
Quercus ilex L.,61,121,181
Quercus ilex L.,65,121,181
Quercus ilex L.,85,305,31
Cistus monspeliensis L.,61,,
Cistus monspeliensis L.,65,,
Cistus monspeliensis L.,85,,
Genista scorpius L.,61,91,181
Genista scorpius L.,65,91,181
Genista scorpius L.,85,,
Thymus vulgaris,61,,
Thymus vulgaris,65,,
Hyla meridionalis,apparition,,
Otus scops,apparition,,
Coracias garrulus,apparition,,
Upupa epops,apparition,,
Gonepteryx cleopatra,apparition,,
Cicada orni,apparition,,
Clathrus ruber,apparition,,
Parietaria judaica,61,105,288
Charaxes jasius,apparition,74,99
Anthocharis euphenoides,apparition,74,99
Thaumetopoea pityocampa,apparition,,
Sorbus domestica L.,11,91,151
Sorbus domestica L.,15,91,151
Sorbus domestica L.,61,105,151
Sorbus domestica L.,65,105,166
Sorbus domestica L.,85,227,293
Sorbus domestica L.,91,258,334
Sorbus domestica L.,95,274,334
